number,title,author,rating /5⭐,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, ,favorites of the year
35,the hat trick,madi danielle,3.00,60.00%,514,"2,023",romance,sports,October 1,October 2,2.0,"I picked this book up solely because I was so curious based off the premise with the square? poly but the dudes aren't into each other romance. For the most part, it was enjoyable but the amount of spice was a bit too much (in my own preference)

wish there was more group dynamics that didn't become sexual and more of the getting to know each other more. looking back, it felt like some of said group dynamics in a non-sexual context were going by fast then boom spice. (again not my ideal preference, I would like more lead up). I think the author delivered what she said to deliver, but in an ideal world I would have wanted more depth to the characters beyond what was just told to us with their live circumstances

I did enjoy reading from the four perspectives, learning more about them individually (but again ! sad about the lack of depth in terms of how it relates to other characters. felt like each one was in their own world and then they went into a bubble universe to have their dalliances)

<spoiler> also i was disappointed that the plotline with chandler's home life and her younger ""catty"" sisters and apparently very critical? belittling mother was never talked about again other than maybe a passing mention after the one appearance when she visits in boston. and the loving caring, yet not fighting for chandler and just keeping the peace father. like ??? it felt like it would have been a good moment when they reconnect from their break for chandler to talk about her insecurities stemming from her ex and him cheating on her, along with the bad upbringing of her mother with the belittling hinted at when chandler was younger living at home. </spoiler>

overall, I think the book delivered what it promised but I was hopeful for more depth or relationship building outside of a sexual context and didn't really get the payoff from this that I had expected the way it seemed the more serious topics were leading to.", ,
36,if only you,chloe liese,5.00,100.00%,376,"2,023",romance,sports,October 4,October 4,1.0,"10/4/23: 1st read
i had the first of this series in my tbr for i think a couple months now but never took the chance to read it, just cause i wasn't in the mood to read the first book in the series. even if for series that ""doesn't matter to read the previous books"" but normally i still care about reading the previous books bc i love easter eggs and revisiting old characters. but when browsing last night for a book to read this premise really stood out to me and already got me hooked. so thus i ignored those feelings of needing to read the previous books that of my own volition and fast forward 14 hours later (including sleeping and going to class) i finish this book HAHA

so safe to say that i really really love this book and enjoyed it very much. the emotionality of the two characters, ziggy and seb. how they bond and grow individually and together. i love the opposites attract vibes yet they have much in common, just take some time to find that commonality. (i have so many feelings that i can't even comprehend them into words so ehhahlfjkwbkel) i love these two dearly and yeah.

and the overall plot arc along side the character arcs went so well?? imo, just how everything flowed together. bouncing back and forth between seb and ziggy's perspectives and how they developed their friendship for a long while, before any serious romance stuff to be on the table (though was playfully teased about it a few times). i also like how the author had timeskips or time just going by, but they felt quite seamless? natural. maybe a little too seamless as sometimes i would pause before checking that a couple weeks went by or such in the story. 

also this big happy messy yet fun family has found my heart and well now time to read the other books in this series heh

just love the character growth of a ""bad"" boy and a ""good"" girl who learn to love themselves and each other (platonically, then romantically). and really, i'm just a sucker for a good fake dating (though more fake friendship in this case) trope ahaha", ,
37,only when it’s us,chloe liese,4.25,85.00%,388,"2,020",romance,sports,October 4,October 6,3.0,"even though i may not like ryder's book more than ziggy's i still very much enjoyed it (i.e. the first book in this series vs. the first book of the series that i read)

the snarky back and forth between our two main leads was funny and made me all giggly that they obviously felt things about each other from the beginning, just took awhile to unpack those feelings and recognize them. both character arcs, the emotional, physical journeys that they went through were intense? but the payoff was good. idk what i'm saying but basically both characters have baggage that they had prior to meeting and while not entirely freed from said baggage they go on this journey (whether they both realize it sooner or not) together to heal from the pain

i've mentioned it before in my review of ziggy's book (B6; If Only You) but the author's pacing feels right, well-paced. yes, it may be slowburn romance (which i love personally, just because i want characters to know each other more, to build that relationship before more romance is involved) with some spice mingled in there, but i feel it's done well. i also do see that this book and ziggy's book do have similar plot arcs, with both the love interest? the non-bergman child of the couple having a murky childhood and them navigating it while the bergman child also has their own issues to deal with. not sure if this similarity is more coincidence? as in not every book in the series would have this arc but so far i am noting this common theme i guess.

again, i love the big family dynamics, how they are all tight knit. but also the friends of ryder and willa both being involved in their lives too. the meddling of the friends and family feels like the right level of meddling towards the mc's but not annoying level of meddling where they go too far and the main characters need to get there on their own without the ""side"" characters doing all the heavy lifting.

overall, i really enjoyed this book. though the grumpy x sunshine with a bit of a twist is not my go-to trope per say but i did like that element and how it was delivered in here. also am a sucker for sports-related/adjacent romance, along with characters going through emotional journeys so that was nice? fun? i liked that part a lot too. heh", ,
38,always only you,chloe liese,4.25,85.00%,384,"2,020",romance,sports,October 6,October 9,4.0,"i think i love this book more than the previous but not as much as ziggy's book (tbh after reading the summaries of all the books in the series so far i don't think any book will likely top it lol) but nevertheless i very much enjoyed this book. did enjoy the secret pining(?) trope along with sports (hockey to be more specific) romance :D and i love frankie and ren a lot and now i want a ren-like person in my life ... sigh

as i've mentioned in the ""book 1"" of this ""series"" i do see a pattern of a general plot arc. granted that this follows just any romance book so that tracks, but i enjoy it? like how these two main characters that are flawed and human and start to grow from their shortcomings as in the process of falling in love with each other. another unrelated thing, but with how an autistic character was portrayed felt right? though myself personally am not, but from friendships, this portrayal of it feels real and a ""good"" depiction of it. whatever good means uhm aha.

I feel like i'd reiterate some sentiments from my thoughts/review of the other two books i've read in this series so i'll summarize my brief thoughts:
so basically i love how these characters feel fleshed out, whole human being that are real feeling. and the emotional journeys they go on. it also helps that they each seem to have interests that are the same to me or intriguing to me, so it's fun to read from their perspective. and the method of different cultures, more with the swedish with the bergman side rather than the other ML/MC's side, but still prominent enough that again makes the character feel real. also the easter egg of how the a-frame house connects back to the bergman family :) i like that small detail. 

but yeah idk, words feelings thoughts in my brain that can't fully be articulated right now. or ever. 

side note: love that both tessa violet and lorde were on the playlist. esp a ""deep cut"" from pure heroine :D", ,
39,ever after always,chloe liese,4.50,90.00%,358,"2,021",romance,adult,August 2,October 12,72.0,"i loved this one very much, maybe because it's in the perspective of characters that i have gotten to know more reading the previous books in the ""series"" and also just more bergman family interaction due to the family vacation also made it so much fun to read

from my very limited perspective on marriage and navigating that life experience, it did feel very grounded and realistic. both aiden and freya have many faults which lead them to the road of resentment/fear and miscommunication. but how they healed and learned from those faults with practice and failure but forgiveness felt very genuine? idk how to phrase it. as i personally view it (and often struggle with), how much communication between people is very important, and reading this book about the main couple navigating those struggles but coming out in the end felt validating? reassuring?

i think out of the stories i've read about married couples, many of them are about how they lead to divorce and not many about how they repair and grow from their fault line point. so that was a nice experience to have a storyline go different. <spoiler>also i had a very strong suspicion about the father once it was first alluded to when him and aiden talked and the vindication that i was right but also surprised that it went that route because even though i guessed it was not expecting for the book to go that route. but it did execute it decently enough, but also without wrapping it up too quickly. OH also the injury. i also had a suspicion that it might occur during the trip. heh. </spoiler>

overall i loved this book because of the very real elements of marriage and learning to grow and love each other as you grow older and intimacy and ""the spark"" can look different for different people in different periods of their life. also many fun large-family dynamics as they go on a family vacation and bergman brother antics ensue lol. 

(minor sidenote: but after binging the last 4 books that i've read being of this series and only having 2 more left is killing me, not looking forward to the withdrawals that i'll have because i no longer can read about this fun loveable family *_* but i'm forcing myself to finish tender is the night because i've been on the last ~100 pages on it for nearly two months uhm lol)", ,
40,tender is the night,f. scott fitzgerald,3.75,75.00%,430,"1,934",contemporary,romance,October 19,October 18,0.0,"by jove i've finally finished this seemingly short book that took nearly three months to do so. kajfjawekfjaksdv

once i'd learn of the details of rosemary (though i suspected it from the start but was feeling hopeful that it wasn't the case) and dick, the whole drive to read this book fell down the drain. yes maybe it was a ""different time"" or whatever, but that doesn't make me less uncomfortable or grossed out by the fact that this 30-something man is attracted to a barely of age (and initially when they meet underage) kid who he has an affair with, because, shocker, he's married to also a young woman in her (mid?) 20's. 

now to get into some spoilers, (that i won't hide but will gloss over just because this book is old and i cba lol). once i was able to barely move on with the whole dick and rosemary affair situation (reading rosemary's section was painful. very painful. honestly the one moment that i could remember that i liked was the duel scene(s) and the lead up and aftermath. some action and entertainment along with confusion aha). i got to appreciate? enjoy reading about the other individuals staying at the riviera. really leans into the whole vibe of rich people doing dumb shit and being pretty racist and also going to prison a few times. the insanity of those scenarios were fun to read. 

definitely enjoyed dick and nicole's sections much more, maybe because i got used to the characters and finally invested enough to be interested to hear more about their backstories and entanglements. (also my further annoyance of dick as i find out he's a late 20-something doctor that falls in love with his psychiatric patient that i think was also barely of age and marries her to help give treatment or whatever bs that he was trying to spin) 

the prose of fitzgerald really was the final driving point of me keep reading despite all the ick factors and red flags that was dick diver. though not much, but the partial analysis that i did read, the essays and analysis about the book also made it more fun to digest the nuance of it all. like ap english class but lower stakes and no time requirement (which imo was my favorite parts of english class: reading and analyzing and discussing the book).", ,
41,with you forever,chloe liese,4.25,85.00%,350,"2,021",romance,adult,October 19,October 21,3.0,"first off the playlist songs, at least of the good handful of them i love; the aces, harry styles, maggie rogers ugh very good

my brain is tired and it's been a few hours since i finished the book and all the feelings i had that i meant to write down for this review kinda fell out of my brain so here's the quick bits:
-always love a book with pets active in the story, even if they are not integral to the plot
-grumpy x sunshine trope but it worked well i think, especially when both learn to trust each other and open up despite their initial tension
-the marriage of convenience trope felt like it didn't really shine, esp was hoping that it would be more relevant outside of rooney and axel but idk maybe it will come up in the next book
-maybe because i read a different book and not the previous book in the series right before reading this so i enjoyed this book a lot
-would put this i think around equal par of freya and aiden's book, only maybe docked a point because of the marriage of convenience trope didn't go beyond what i'd hope, connecting back, beyond just little antics along with rooney and axel forced to be in the same room together and talk about their feelings
-i did like how the game of charades at the end of the previous book connects back here, a leading element
-basically everything was good except maybe the ending felt a bit rushed and ended so suddenly with the reconnect of the two characters, with minor plothole? ignorance of the marriage storyline

overall fun, i laughed and giggled and kicked my legs basically whenever the two idiots were interacting but the whole story felt like it wrapped up a little too quickly for me
", ,
42,everything for you,chloe liese,4.25,85.00%,356,"2,022",romance,sports,October 25,October 26,2.0,"it took slightly longer to finish this book just because i was not ready for the fact that the final(!!) book that is new to me will be released in next april 

i think i like the characters a lot, but like with other people's criticisms, along with my minor criticisms for the characters of previous books where they all tend to have a similar storyline, the ""love interest"", i.e. the non-bergman person feels a bit underdeveloped. the lead up for oliver was great, based off the last book's ending hints and how the story started for this book but gavin's fell a little flat for me. especially considering the fact (which i notice is reoccurring for all these ""love interest"" characters) that we have their perspective yet their family history is very lightly touched upon. yes, gavin does not want to talk about it, but at least some background or more mentions of why gavin despises his family (other than the quick telling of it towards the end ://). 

the grandpas were fun and their dynamic with gavin was fun (though also would have liked to see more about them beyond the poker nights). it was cool to see them and other characters all connect back with other side characters or even main characters from previous books, like a fun easter egg. also the weddings?! a nice touch for those that stuck around with these characters since book 1, though kinda sucky for those that did not. 

overall i did enjoy this, though the plot felt a bit fast with the time skips (like right off the bat after the first chapter. would have also liked to see more about oliver meeting the team or even up until he meets gavin before the jumpcut to when they're forced to be co-captains). not sure if it's a ""thing"" but again noticed that all the books are 30-35ish chapters, so wonder if the storylines were cut short or forced out due to meeting the ""required"" length that match all the other books. 

((now looking back, wonder if i should go back and reaccess my ratings for the other books in the series since a handful of these issues seem to be a reoccurring theme hmmm))

but yeah. despite all that, i love these characters so ¯\_(ツ)_/¯ i did enjoy the book despite all the errors and yes i will be rereading ziggy's book again even though i read it literally this month (early october!), just so i can now see other characters after being ""formally"" introduced to them in their respective ""main"" books.", ,
43,the no-show,beth o'leary,3.00,60.00%,337,"2,022",contemporary,romance,October 21,October 28,8.0,"maybe i spoiled it for myself, because i suspected it after a couple chapters, by reading reviews that hinted at a twist. which actually helped speed me reading it, but more just to know what it was. and to be honest, meh.
maybe because one of the three reasonings that i guess was true, just because i guessed right? or just the whole concept of the story fell flat to me. not sure what specifically needed to change?

the entire delivery of each of the characters hidden storylines was rich in nature and exciting but the delivery and presentation of the information? not so much. probably doesn't help that the whole notion of cheating (even if it may not be all that is seems) just ick-ed me out and i didn't like it.

overall, it was okay. what i liked from the book was the three changing perspectives part and three main girls. but otherwise, bleh.", ,
44,if only you,chloe liese,5.00,100.00%,376,"2,023",romance,sports,October 28,October 31,4.0,"10/31/23: 2nd read
yes this is my second reread in less than a month coincidentally finishing the last day of october while i started reading this series on the 4th of october so essentially a month). i probably didnt need to do this reread after finishing oliver’s book just to get easter eggs and tidbits from the other couples in the series and yet i did :-)

still love it the most in the series, how time flows well enough (maybe slightly confusing with time skips but not confusing for too long and not jarring imo) and the character growth ! a good sucker for fake dating (though in this case not dating, but friending?) and friends to lovers trope. (though not a true friends to lovers bc the mutual attraction was there from the beginning of the book so not really but in the sense where they spend time getting to know each other deeply before even actually considering being a couple)

love it. ", ,
45,the boyfriend candidate,ashley windstead,4.25,85.00%,384,"2,023",romance,adult,October 31,November 1,2.0,"basically read in a day, consumed me, and i slept very little last night just so i could keep reading even though i had an early morning class and a huge group project to undertake with the deadline so close :D lol

i am a sucker for fake-dating and always will be. politics centered story aspect was not as appealing, but was nonetheless interesting, though minus points for the whole process and environment feeling fictionalized? (which is a bit ironic since it is a fiction book lol) idk, i guess it reminded me a lot of the process from political tv shows that i've seen and sure there's truth to both the book and those shows where the process is real. idk it's a very minor gripe and it didn't really bother me while reading but more noticing it retrospectively

further; yes i did predict the turns, yes this is a common thing (for me) that i can expect those turns, but doesn't make the whole reading story consumption process less fun or exciting. (ref: me reading 3 hours past my bedtime and getting 4 hours of sleep because of it). it truly did suck me in from the romance between logan and alexis, to the characters individually. specifically certain elements of alexis i related to and saw myself in alexis a lot, the self-doubts and fears with relationships both romantic and platonic, the feeling to put myself out there just because of societal norms and pressure, feeling like a social outcast? with traits deemed as ""shy"" or ""meek"" as if a person is just a small bug with no autonomy. but also the growth part of accepting parts of you that seem as such but also expending horizons (within comfort/reason). also in relation to that, i have a minor gripe of alexis' process of learning to love herself and be more open to receiving and accepting love (moreso romantically than familial/platonically) as it felt a bit rushed and crammed towards the end of the book and became kinda sidelined with the election closing. 

but overall, enjoyed it. it leans more on the fun and light side with fake-dating during a gubernatorial election, and less serious and emotional about the personal growth aspect which was a downside", ,
46,the decoy girlfriend,lillie vale,4.00,80.00%,304,"2,022",romance,fame/celebrity,November 2,November 4,3.0,"despite the few reviews i read before reading this book along with the average rating of this book being more mid or negative, i liked it? yes it was a bit corny and cliche-d or tropey but weirdly the sorta kitschy parts of this book made it fun? and like delving into a goofy fun not serious story. idk

i didn't see a huge problem with the insta-love between the two characters, like my brain glossed over it? my brain didn't see it as a problem so i'm noting that, no problem, again as talked in brief above, the kitschy parts were weirdly fun and exciting to read

minor gripes: 
-think that once we got to the main conflict? the leading up to the end felt very rushed and maybe certain details got pushed aside. 
-lowkey highkey wanted the conflict to be? bigger? like it was such a minor blowup for how much the characters emphasized the precariousness of things if it were to go bad
-loved the character growth for taft and freya but wished that it could've been more front and centered than just internal and talking? i don't know how that would be done but yeah

also the communication? any disagreement or grudge got resolved (maybe too well LOL) between the main couple. ideal, basically fictional levels of communication in a couple (or maybe i've been conditioned otherwise and this is just healthy uHM)

overall it was fun to read. not like a serious, ""serious"" book and facevalue it what it is. fake-dating squared in a celebrity environment (which is my guilty pleasure so) which gives me enough reason to like it even if it may not be executed in the best way. idk. ", ,
47,before i do,sophie cousens,3.75,75.00%,384,"2,022",romance,adult,November 5,November 12,8.0,"i have a lot of conflicting feelings so here’s a list of my thoughts:

the cons/negatives:
-would note a tw for divorce childhood trauma, a man making a significantly younger woman very uncomfortable and unsafe even when she says stop
-i think the way this backstory of audrey made sense for her past and future actions but doesn’t mean that it made me so uncomfortable and icky bc of this icky fucking terrible man
-how those pieces integrated was beautiful but heartbreaking, truly death by a thousand cuts
-i did not realize that this book was slow burn, especially for a book that’s about a character getting married?! and that affected my experience as i was getting impatient. 
-but in both the pacing of the book and the slow burn aspect i think it worked well but maybe not necessarily my cup of tea because it felt drawn out. all the pieces slowly came together but it was a bit agonizing during that aha

the pros/positives:
-i loved the character growth of audrey, yes it would get both frustrating and heartbreaking, but all the hurdles that she had in life without getting therapy?? poor gal
-i also love the core message of love, as a romantic yet realist girlie. how yes you can have that soulmate but also it may not be realistic to only strive for that kind of relationship in life. that there is beauty in choosing someone and growing that love and deepening that relationship 
-i also also really really loved the different timelines, all feeding tidbits of information as the story progresses and i feel like it was done well 

overall i think it ended up being a good read ", ,
48,wildfire,hannah grace,3.50,70.00%,383,"2,023",romance,adult,November 12,November 15,4.0,"i have mixed feelings. 

for the most part, reading this book was very fun and i forgot how much fun a camp-centric book was. but for the two main characters to have such heavy baggage, how they worked through it felt? like it wasn't fully formed, underwhelming. 

i did like how the two mc's were very self aware because of their emotional baggage, going into this romance was very realist? of them. and how they worked on problems because they both knew that their perceptions were skewed to start. but also how the big issues felt like they wrapped up too fast? like almost ignoring the issue, then five chapters later and now most if not all the problems were fixed? *scratches head*

all the side characters(?) were very fun and i always love a book that has these big group friendships. yes, it was a bit confusing in the beginning because it's been a bit since i've read icebreaker, and had to try and find summaries to remember who was who without mixing plots from other books with similar feeling characters lol. (also bc after icebreaker i read too many sports/hockey romances lmao) maybe a downside, how these re-emerging characters should have been introduced better?  like the pov of the mc to explain who that person was that we met before (from icebreaker). 

also the epilogue was nice, but kinda jarring. yes we get to see the HEA but also it feels sudden when we just witnessed the two characters (quickly uhm) growing from their emotional traumas. 

i thought i would rate it higher because i read it so fast and it was fun, but after re-evalutating when writing this review, the rating makes more sense to go down...", ,
49,will they or won’t they,ava wilder,4.40,88.00%,384,"2,023",romance,fame/celebrity,November 15,November 17,3.0,"first off i loved the very little tiny easter eggs from how to fake it in hollywood :)

this was very fun and emotional? to read but like in the good sense. a push and pull of an enemies to lovers that regresses and there's some whiplash especially with the flashback chapters of lilah and shane's tumultuous relationship.

at least for me, this was a first in terms of having an enemies to lovers where it was so tumultuous and push and pull relationship between the two characters. but it was fun? like emotionally intense, but fun because the up and down journey with these two and how they would end up in their hea? the journey was fun. 

the character growth was good for both shane and lilah, though the progress felt like it was happening outside, like it was behind the scenes? but for the most part it was good :)

overall very fun but also emotional and intense", ,
50,heartstopper: volume one,alice oseman,4.50,90.00%,288,"2,018",romance,teen/ya,November 18,November 18,1.0,"i did not realize how short this was, especially considering how fast i read comics/manga/webtoons and after getting to the end of chapter 1 and the book was halfway done i- 🧍‍♀️ 

sad the library doesn't have the next volume so have to figure out how i'm gonna read the next ones because this was so fun and like all the joys and fun (with a healthy realistic but not downing amount of sadness and such) of those young teen years and falling in love. from my very limited outside experience and learning from my friends' experience, the intense rushing love of teen love that feels so genuine and clean? pure? the almost young naïve part of it, and lovely that charlie has. 

very very fun and i need to read the next volume now !! >:(

also complete sidebar but this is my 50th book i have read this year and in all the years of goodreads-ing for the past 10 years i've finally finished a reading challenge (other than the one year but i ""cheated"" marking each short story in a collection that i was reading a book uh lol)
", ,
51,secretly yours,tessa bailey,3.50,70.00%,384,"2,023",romance,adult,November 19,November 21,3.0,"i think i liked this book but there were things that made it not as enjoyable or necessarily great and that docked it down. but for what the book offers, fun, kinda raunchy, childhood crush into adulthood, opposites attract romance and such, the book does deliver. 

the two main characters were fun and quirky but also weirdly human and normal in their own right? like they had their *character flaw* and it was central to the story. and while i got frustrated at the two with their *character flaw* blocking each other into miscommunication, it made sense? so it was okay. idk

what i wasn't a fan of for the main part was how quickly the conflict got resolved? like bam conflict, a timeskip that i didn't realize happened until the characters mention it and then a chapter later things are resolved and the book ends. like if it had 5 more chapter, hell maybe even 2 more it would've felt less rushed. 

and i saw another review mention this but i wanted resolution with Uncorked !! and i didn't get any after all this buildup...

but yeah. fun but maybe if i don't think about it too much, i guess.", ,
52,unfortunately yours,tessa bailey,4.00,80.00%,384,"2,023",romance,adult,November 21,November 25,5.0,"very much enjoyed reading this and i love the two main characters. doofuses and dinguses in their own right that are blind to their emotions yet still so communicative (for the most part) between each other. it's like fire vs fire but arguments or disagreements fizzle out into fiery love in surprisingly short periods. (but that's maybe just because they're <s>horny</s> in love)

the story/plot pacing and how it all laid out felt much better than secretly yours (the previous book in this ""series"" with natalie's older brother julian), which was so nice since that was my main gripe with that book. or maybe because the characters in here were chaotic but like an understandable amount of chaotic? that made sense with their character and how natalie and august talked about things with each other. maybe because of their pains and traumas they were (most of the time) very upfront with each other WHILE being in a marriage of convenience was surprising yet nice

minor side note; but how the author writes spicy scenes (at least based on both this book and hallie and julien's book) it's not my taste? to say the least. like the word choice? it throws me off every time i come across them and i have to take a breather before reading more uhhh lol. but personal preference i guess. but otherwise it's like definitely a romance novel with the amount of spice,,, but not to the point of excessive and (mostly) makes sense with the plot.. so. yeah.", ,
53,two wrongs make a right,chloe liese,4.25,85.00%,326,"2,022",romance,adult,November 25,November 28,4.0,"I think after reading this book it really cemented the fact that I like chloe's written world of emotionally complex characters that grow to love people despite their flaws and societal scars, along with their character arcs (for the most part there are exceptions or minor grievances mixed in lol)

i got so annoyed by juliet for the setup despite how much bea (and respectively jamie) did not feel ready for a relationship, and felt slightly less annoyed when i forgot that bea didn't tell her about tod (and no one in the friendgroup knew how heartbroken jamie was from his ex either). still annoying, as a person in my own shell that a small amount of pushing is fine in the long run but extensive pushing out of comfort zones (esp in the case of these characters that have mental illnesses and are not societally level of comfortable with socializing with people, moreso with unfamiliar people) but yeah...

i didn't do my normal of writing the review right after finishing the book because i had another thing to do after finishing the book and then forgot about writing the review lol so i don't have any more major thoughts.

but again. another romance novel with emotionally complex characters and character growth for the books that i really very much enjoyed reading.

also random side note but the next book in the ""series"", with the next wilmot sister and christopher, i thought it was with juliet LOL bc i forgot about kat and mixed up the names. but yeah. curious about reading that next except the library ebook is not available for another 6 months?! sadge. ", ,
54,forget me not,julie soto,4.75,95.00%,341,"2,023",romance,adult,November 28,November 30,3.0,"[yes i have an exam tomorrow and yet i spent a nearly embarrassing amount of time reading this book in the past three days lol]

i always love a wedding theme-d book and this was no exception. also the common alternating chapters in romance books except one perspective is just flashback scenes is brilliant. also the whole backstory of ama individually, having a mom that's basically on a cycle of marriages and divorces was sucky for the character but was intriguing and ?fun? to read, as it affected ama with her own relationships. along with the heavy backstory/history that ama and elliot, how that slowly trickled in through the story and we learn more and more about it

a girl loves emotionally complex characters in a romance novel :-)

but yeah i loved this book a lot and also the cover is pretty and hits the whole category of guys with tattoos uhhhhh LOL

ALSO minor spoiler but the reasoning/meaning for elliot's tattoos towards the end of the book, I yelped and screeched and nearly chucked my phone (bc it was a library ebook) into the toilet
", ,
55,the long game,elena armas,3.75,75.00%,373,"2,023",romance,sports,December 1,December 4,4.0,"I have a lot of mixed feelings

I think the main thing is that most of the pieces were there, but they just didn't fit right and maybe missing a few with pacing towards the end along the way. 

the good:
-after a few chapters, i loved cameron, maybe just because i'm a sucker for an english accent, the more english petnames (though the timing of him starting to call adalyn that kinda threw me off with the vibes between the two, really jolted the enemies to lovers flow alot). also he's fit and has tattoos?? sold (though it is kinda ""basic"" in terms of love interests character aspects but idc *shrug*)
-also re: previous point, but sports romance? always a favorite here. yes he's retired, and the main couple doesn't really play just talk about and they're more the administration side, which i was fine with? maybe after reading a large chunk of sports romance where the character(s) were actively competing in the sport vs. here where they're more leadership administration roles
-despite the kinda wonky enemies to lovers trope delivery, the slowburn? chefs kiss. i love loved it, the push and pull between the two, them slowly maybe realizing they're in love and the exchanges and banter during it? fuuun. had me giggling and smiling and nothing gets a bigger reaction to the slowburn flirt build up than that (i feel like others have also said before, but spice, stonewall reactions. flirting, the push and pull before the two mc's go into a relationship? giggling kicking my feet smiling absurdly, grinning like a fool)
-also always love a small-town setting, a la gilmore girls and many other books. the ""weird"" activities, the community all intertwined in everything is fun (within reason ofc, as long as they're not too nosey uhm)
-last thing, but always love a multiple pov book. how it changed between perspectives (mostly) flowed well and felt well-paced.

the bad/cons:
-as briefly mentioned above, for it being a enemies to lovers main trope, i feel like it delivered the least out of the core tropes that this book advertised. yes, their first encounters were enemies and hostile, but the transition from enemies to lovers was sudden and imo did not flow well. there were a couples times i just got confused, and had to stop reading for a bit just because it felt disjointed and threw me off. really cold then hot, but no transition from one to the other (if that makes sense)
-as much as i love a girlboss, adalyn being one didn't really come across as she was supposedly to be. maybe it's because we only start at the beginning of the downfall, the incidents which causes her to be kicked off to green oak, but the whole ice queen, boss-ass bitch vibe didn't come across to me. in the beginning she just seems to have attitude with no backing behind it (again maybe because she just lost power in her leadership career role, or maybe even didn't really have much power to begin with, having a snarky conniving ex-lover as a co-worker. so the whole vibe of her main ""pillar"" as a character was not sold to me). maybe would have liked more build up to the main cause of conflict with adalyn being shipped out to green oak, to establish her role with the miami flames administration. idk
-not gonna go too in-depth as it gets spoilery, but the ending felt fast? and again was confused what was happening and how certain threads would be wrapped up. the whole common last 3ish chapters wrapping the whole conflict with not only our main character but the main couple being too fast and rushed and not enough room to breathe or have things flow as it has been in the rest of the book is annoyingly common in romance books but i still hate it as a thing. and for these characters that i grew to like/love to have it happen to them? it was disappointing.

overall. i think it was good? honestly i just loved cameron LOL and i hoped this book would've been more when it kinda fell flat in some spots", ,
56,collide,bal khabra,4.50,90.00%,395,"2,023",romance,sports,December 5,December 7,3.0,"i need to sleep bc it's 4 am but yeah i loved this book
when more conscious will write more thoughts

~ it's later: 
i don't want to say it's icebreaker but better since they're two different books by two different authors and the only thing tying them together is the tropes: grumpy(f) x sunshine(m), hockey (sports) romance (probably smaller tropes too but those are the main ones)
but.... as a book that i will in this moment only define by its tropes, it is better :)

the growth of the characters, we get a good development period with both characters, though moreso on summer than aiden but we do get to see aiden break out of his bad habits(?) and being more open about his grief with summer even if they're not as present or upfront in the story as summer's trauma and bad habits.

for the most part that i remember, i think the chemistry and relationship development did not feel rushed (considering the fact that they were both physically attracted to each other but personality wise at opposite ends) or at least sudden once they started being more intimate. the push and pull, hot and cold with their relationship seemed reasonable considering summer ""doesn't do relationships"" but yet she seems to go into one with aiden (w/o labeling bc, trauma aha). and how, as summer snarks that aiden was a gentleman, saying that he won't go any further until summer admitted to herself (and aiden) her feelings under all the hard cold wall that she put up

i'm always a sucker for found family and big(ish) friend group dynamics, and with both summer's friends amara and cassidy and aiden's housemates/teammates was fun and always a thrill when they interacted. one thing, was slightly annoying that for both the guys and girls in the group that were the relegated side characters, had all these intricacies and flaws that had deeper meaning but we would never get into other than random lore drops and those plot holes or strings never got resolved. i'm assuming that since there will be another book in this universe as a sequel that one of these character pairs(?) will be the main focus and get more into their backstories. but to be teased and then shut out of it? annoying

overall, very fun. the classic sweet romance novel (with spice) and emotional under (sometimes over) tones of the character's traumas and flaws that they grow (idk what i'm saying at this point lmao)", ,
57,tis the season for revenge,morgan elizabeth,3.25,65.00%,304,"2,022",romance,adult,December 7,December 8,2.0,"it was fun, but nothing about the two main characters drew me in enough. the whole revenge to a shitty ex that used her was an intriguing and intense but fun? storyline to follow. 

i didn't know bc my ebook skipped to the first chapter so i didnt see the dedication, but i said that abbie gives major elle woods vibes, but if she was a little older, and then i missed the playlist so i went back and then got confirmation from the dedication that abbie and her initial circumstance was inspired by elle

but anyways. was fun to read. maybe not entirely for me. will probably read the next books in the series for the revenge-startingout plotlines. 

i'm proud of abbie and her growth, learning to get back her true self again and get a man that treats her like the love of his life o-o", ,
58,it happened one summer,tessa bailey,2.75,55.00%,397,"2,021",romance,adult,December 9,December 17,9.0,"as evident by how long it took to read this book, yes i was busy with studying for exams but yes it was a struggle to keep reading. i think i’ve grown to accept from reading this book that i can and should dnf books instead of grueling through it or just even skimming or skipping pages with books in general. only have so much time in life to read so many books and if it’s not for me, why take up time reading a book that i don’t enjoy? but yeah. 

i think this book affirmed that tessa bailey books are not for me. maybe because ive been reading so many romance novels for a while this year and need to move genres for more variety in my reading but also just having characters jump each other’s bones before they develop a relationship or connection emotionally is just not my vibe (and that’s okay)

but despite all that i did grow to like piper, brenden and hannah. all flawed people that learned a bit more about themselves but also the message of not changing yourself to conform and there will be people that love you for who you are (as long as those not-changes are not like harmful to them or the people around them ofc)

overall liked the character for the most part but ultimately didn’t fully enjoy it and yeah
", ,
