number,title,author,star rating,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, ,favorites of the year
29,swift and saddled,lyla sage,3.75,75.00%,320,"2,024",romance,western,2024-04-22,2024-04-24,3.0,"along with always enjoying books about cowboys and horses, i’ve grown a soft spot for interior design and renovation themes and that’s what drew me in with this book (along with it being the sequel but not really a sequel to done and dusted)

wes and ada, love them, their flaws and insecurities as well as their strengths and how they (sorta) grew in this book with their character arcs.

similar to the first book, but i wasn’t crazy with the fact that we get important details about the two main characters flaws to have them not be resolved in the book (maybe could argue the fmc does but definitely not the mmc). the author really does tease the emotional vulnerability to just not get into them??? bruh. like i wouldve liked more details about chance (ada’s ex husband) other than the snippets we get in passing. and also the heavy burden that wes deals with being the middle child and feeling overlooked and feeling the need to prove himself (even if he doesn’t have to)… just ugh my mild frustration that it doesn’t come through

also the pacing? felt a bit fast and skim-y like time was moving but i don’t get to interact or get a better feel of the characters, both main and side characters, especially during the renovation period, those june-july days sped by so fast, and wished i could’ve had more detail and just more time to sit with it for a bit before moving on..

also the little tidbits we get about the renovation was fun but man i wanted more ! i think this is more of a personal preference, what was in the book was solid but my little interior decorating/reno heart wanted more to read about 3

overall the book was fun and light but i have some frustration with the plot lacking that third leg of complexity that is lurking under the surface but never gets its moment to shine.", ,
30,the language of thorns,leigh bardugo,3.75,75.00%,281,"2,017",fantasy,teen/ya,2024-04-21,2024-04-26,6.0,"was fun and interesting with these fable-like short stories. i think i always struggle with short stories just because there’s so little time to get to know and grow to love a character(s) but the magic and supernatural characters in each story was fun and intriguing

individual reviews:

ayama and the thorn wood
was interesting. not your classic tale of the whole one sister was gifted and loved and the other was a slave that has a cinderella story and marries a prince but rather goes into corruption and neglect 🤔
3.5 stars

the too clever fox
interesting. i’m growing to like these fables? the concept was good and satisfied with the ending. being too proud and boastful because of success, only for it to become your weakness
3.5 stars

the witch of duva
this one was fun and i think my favorite so far. like the twist and how that lead the story.
3.75 stars

little knife
poetic and powerful. good.
3.75 stars

the soldier prince
very eerie. also with the man that is rejected by society wanting to mold a young girl to like him 🤢 ick
3.25 stars

when water sang fire
was scrambling a bit to finish this on tome before my library rental expired but it was good. liked the theme of greed and longing but also friendship and loyalty.
3.75 stars

avg 3.58 stars
overall 3.75? stars", ,
31,just for the summer,abby jimenez,4.50,90.00%,432,"2,024",romance,contemporary,2024-04-27,2024-04-30,4.0,"no i have not read the previous books in the series and did not even realize it was a series when i requested the book rental from my library and only realized once i started reading the book, when i was putting it on my goodreads current booklist. 

but i really love love loved this so much. it had a lot of elements that i enjoy in a romance, the development of characters that are complex and have some baggage that they grow with throughout the book and it did truly deliver. i loved the quirkyness of the premise, of how justin and emma met through an aita reddit thread and the flirting and jokes they had that connected them from the start. their whole dynamic was sweet and cute, and personally not cheesy to me, just the right level of of cheesy? quirky? to be endearing and sweet. 

the whole undercurrent/conflict for both justin and emma was done well, at some points i even forgot that amber was supposed to be a conflict just because i was distracted by cute moments from emma and justin and threw me in for a loop (in the good way). how real? that felt. that one moment everything feels fine, perfect even, then the shoe drops and throws you, scrambling to try and take control of the wheel again. the whole element of growth? and emotional entanglement and trauma felt (from the little, basic human knowledge that i have) felt so realistic and grounded, added a good foil to the romance aspects of the book. 

i think the whole relationship dynamics and tension not only between emma and justin, but also with their mom's, really captivated me and spurred me on to keep reading. there were certain points that maybe things felt a bit flat like in terms of descriptions and needing more words, but at key moments with the plot points it was all clear in my head so ultimately it was fine for me? 

other than the vague premise with no prior series knowledge, (i did not know until the author's q&a in the back of the book that this was not amber nor neil's first appearance. which shall be an interesting experience once i start to read part of your world soon) i had much fun with this. i liked the balance of romance and fun cutesy-ness with the harsh reality and trauma of fractured families. both not detracting from the other, but not outshining either. 

4.5 stars", ,
32,funny story,emily henry,4.25,85.00%,395,"2,024",romance,contemporary,2024-04-30,2024-05-03,4.0,"waaaa another emily henry book that releases in the end of april :^)

and yes another heroine that i can relate to, parts of me both in the past and present. the more ""meek"" and shy or reserved, girl who loves books and who also gets emotional and doesn't have a good time making friends nor keeping them :| whoop

but in all honesty this was emotional and endearing to read, but i still hold book lovers and happy place much higher in the nonexistent tier list of emily henry books. right now i'm thinking of that meme? comment about how author's always have their protags be authors, in the publishing industry, or librarians and yes this book does fall into that trope? fallback? but yeah. i think maybe because i've been anticipating this book much longer than any other emily henry book so i had undetermined expectations? and this book mostly delivered but not in the way that i would've necessarily liked i guess. i can't put my finger on it, but something was off. the emotional conflict that daphne had was mostly tied, enough to satisfy me, and miles's conflict was touched upon enough but maybe was glossed over and wasn't given enough attention? but then again this book was only in daphne's pov so we only could get so much emotional growth perspective other than what daphne gets from miles or his sister.

pacing was alright? did feel like certain parts we could've scoped more into. or even just the whole wedding that daphne was supposed to have with peter that fell apart. or maybe if the book started right then? instead of later when she's already moved in with miles? idk. but also how the whole story was laid out felt a bit off? but i can't really put my finger on why. now looking back, it did feel like the whole timeline from marriage breaking off to the end of the book, the plot points were mostly solid but didn't fully hit the mark every time. (i keep rambling bc i'm trying to rack my brain for a more clear reasoning as to why it felt off erm)

when the big conflict happened (no details bc spoilers) it really did make me tear up, not sure because of my period or also just recently feeling down but that big moment/conflict happened really hit me for some reason, moreso than it probably would normally. also weirdly felt like a good chunk of songs from taylor swift's new album the tortured poets department (at the time of writing this review) really did fit as a soundtrack to this book. not all the song's themes matched but it sorta did in some aspects which also added another emotional layer having more than one medium of romance hitting at different levels (trying to describe this w/o spoiling what happens haha)

i enjoyed the small town environment, and as a person that grew up in the midwest certain details made me laugh or reminisce because of the characters going to a place similar to a place i could think of in real life. maybe because daphne was so not integrated? into the town, just floating through on her own, not forming relationships or even just exploring (which, relatable, especially younger me that would just go from school to home and nothing else until adulthood where i started to do so sorta). but because of that i understand why we didn't get to get more details of the world? but still would've like a bit more.

but yeah. i think there was something off with the pacing and maybe having more details? at certain points just because certain points. but was fun and emotional to read. and another book that gives me the urge to just live in a small town working with books and going to farmer's markets man....

4.25 stars", ,
33,part of your world,abby jimenez,3.75,75.00%,400,"2,022",romance,contemporary,2024-05-03,2024-05-05,3.0,"after i’d finished just for the summer (the technical 3rd book in this series), i really got hooked into this world and was gonna read the previous two books in the sorta series. but, was very hesitant to start this one, as age gap romances personally give me the ick, just because of imbalanced power dynamics and such, but since the guy (being the younger one) was 28 and seemed settled in his career and life, i felt okay with that (for the most part)

man, this book was so emotionally heavy. probably because of the themes, of domestic abuse, of classism and elitism, of familial oppression and abuse. from my small scope of experience and knowledge, i did feel that the author handled these topics well. i think how the conflicts that were related to these themes were not dealt with cringey-ness or being corny or treated like a messy stereotype. that being said, it did feel a bit too even keeled, with therapy knowledge and the fact that we meet alexis after she left neil and after she had already been going to therapy for a bit. maybe would’ve liked it more if we got to be with alexis during that period, idk

pacing of the book was okay, felt that towards the end, it wrapped things up a bit too quickly? a lot was happening in the last few chapters and i feel like it could’ve been spaced out more? or just given another chapter to breathe. in both meeting and towards the end, alexis and daniel’s relationship felt like it was going too fast and as some people like to say, it did lean towards insta-love but idk the hooking up to meaning something more made sense? but very rom-com esque and not necessarily the more common irl relationship path

i always enjoy stories in small towns, the fun light yet maybe heavy undertones with a cast of characters that all (usually) look out for each other. excited to continue reading and maybe hopefully get to know more of the town in the next book

overall was a good book, it was emotionally heavy but dealt with those topics well. felt like we didnt get much outside of daniel and alexis’s relationship and i would’ve liked more in that aspect. ", ,
34,yours truly,abby jimenez,4.50,90.00%,416,"2,023",romance,workplace,2024-05-05,2024-05-07,3.0,"i really really liked this book. fake dating (sorta) and both mc's are doctors which is a genre that lately i've been getting into, especially with reading the books in this series

the miscommunication is so so strong in this book but it makes sense for the characters with male figure trauma and anxiety and overthinking. i think it also helps that i havent read a book with much miscommunication recently until this one, and also not it just being the last bump in the road in the plot but rather a consistent conflict that crops up so it feels better? maybe because it's not 3rd act miscommunication, but rather a consistent thing that the two mc's are dealing with makes it acceptable? personally was happy with how tonally it was, but can see this being a bad/not great aspect of the book's plot.

i think with this miscommunication, it really added something to both jacob and bri's character arcs. how they had and still have these burdens that they are struggling through, with trust, with acceptance, and learning to navigate that both individually and together. i enjoyed the humor between the two, how that broke the ice in more tense situations but also just in relationship development. i really related to jacob in many aspects, though i don't have anxiety, but i do empathize with the cycles and downward spiral of overthinking interactions, how planning ahead to expect certain decisions to be already made from the planning, enjoying a quiet night and not a wild night on the town in loud dance clubs and finding comfort in pets. 

pacing of the book felt good? i think how the conflict was unfolding felt like it was going at the right speed, and how we get to learn more about jacob and bri as times moves on

my brain is blank idek what else to say i just really liked it lmaoo. but also jacob's house sounds like a dream, other than not having a couch LOL the reading spot, the PLANT ROOM?! that's temperature/humidity gaged... i should get more plants hmm

also damn that situation with amy and jeremiah, jacob's ex and little brother getting married a few months after jacob and amy broke up is fucked. even IF there was no cheating, or anything, still, like wait at least a year man... courtesy and all that

overall was what i enjoy in romance novels, the fun cutesy romance but also the emotional aspect, navigating traumas, hangups, personal demons etc. rating is weighed a little bit higher, even though it may not be like a lifechanging, inspirational, unique book. just because i enjoyed it so much and read it within like 36 hours essentially :]
", ,
35,gleanings,neal shusterman,4.00,80.00%,423,"2,022",dystopian,teen/ya,2024-05-07,2024-05-11,5.0,"i really liked this, every story was interesting and fun to read, a new perspective on the people of this dystopian world of scythe. 
overall 4 stars
avg 3.87 stars

individual reviews:

the first swing
o wow a poem to start?? but was good. free verse(?) and i liked the thematic element in relation to scythes, how it’s law to them to kill, to be this ominous figure to sorta carry out the law, their duty. this poem also read like a chant, again with the whole ominous figurehead feeling from this.
4 stars

formidable
we finally get the story of marie! and how the role she played with the last remaining government in the us during the transition of mortal age to the thunderhead’s era. interesting to read about her thoughts and feelings as she’s quite young, like scythe anastasia in the beginning, being maybe naive but wanting to appear calm and wise, living in simplicity but also adjusting to the high status of being a scythe. 
4.25 stars

never work with animals
interesting. i do like it that it sorta centers around dogs. how the story slowly meanders and reveals how much the story is emphasized on dogs with scythe fields. amusing but interesting.
4 stars

a death of many colors
interesting. guess makes sense naturally that people would believe that the thunderhead is fake or scythes are fake, as with many truths in real life that people, no matter how much evidence is provided, that they choose to still not understand/believe
3.75 stars

unsavory row
well alright. it felt like a half extension story to a character, as it’s about the sibling of the guy that got gleaned when we first meet rowan. not sure if it’s any substantial story and maybe because the whole paradox of unsavories in relation to the thunderhead didn’t particularly interest me in the main trilogy so this didn’t either?
3 stars

a martian minute
and here we are, goddard’s backstory. he indeed was human with regret before he became the series antagonist. almost sympathetic? towards carson, how he felt trapped and all the ambition, though misplaced with bad intentions, was thwarted by his parents keeping him on mars instead of going back to earth. we also get to see some elements of his personality that would mature into what we saw in the main series and was cool to see how that ambition, almost blindingly lead him to the steps, steps that would be essentially burning his conscious because of the great moral breaking he was doing. 
4 stars

the mortal canvas
…i think this one might be my favorite. the whole premise from the start intrigued me, curious as to how it would end, something that hindsight makes sense but i wouldn’t have expected it. the beauty in mortality and death, specifically within art was an interesting experience to have with the characters, moreso because they had death (potentially) looming towards them. the emotion that morty had, through all the ups and downs of this final project. there was also interesting commentary on new art styles, digital art, and present day (reading in may 2024, though this story was published a bit ago when this wasn’t as prevalent or even existent conversation ) art arguments/conversations about ai art and generative ai and it’s affect on art these days. 
4.5 stars 

cirri
sort of melancholy, but interesting nonetheless. a sort of continuation right after the end of the trilogy, with the cirri how they watch the humans on board each their ships, some already not making due to conflict, human or otherwise. almost poetic feeling with how we reflect life and death, how one error and lead to detonation and death
4 stars

anastasia’s shadow
interesting. mixed feelings with the main plot but in context to the trilogy it makes sense with the characters that reappear from the trilogy making decisions. it was like parts of scythe except more melancholy because of the reasoning even if the training arc was fun? how much ben was suffering adds that tone to it. did really like how poetic the ending was. 
3.75 stars

the persistence of memory 
i liked that the theme was about arrogance and jealousy, how scythe dalí was so misguided by his arrogance and pride that led him to failure
4 stars

meet cute and die
a goofy tale yet with realistic themes? how scythe boudica was afraid of marni leaving her so much that she became overly controlling. 
3.75 stars

perchance to glean
huh. glad we get to read about different regions and their scythe practices, but dying in dreams, or more it starting the gleaning process and not irl was interesting 
3.5 stars

a dark curtain rises
as to end the anthology we finally get to read about how the expeditions faired and more specifically the person, susan experiencing supplanting on the ship, just before they settle onto the new planet. i liked especially that we get to revisit (no spoilers on who heh) a character we got to briefly know in the trilogy. 
4.25 stars", ,
36,right on cue,falon ballard,3.25,65.00%,336,"2,024",romance,fame/celebrity,2024-05-12,2024-05-15,4.0,"i was not expecting much from this book but it was truly, something unfortunately. i am always a such a sucker for acting/hollywood romance stories and i think in that aspect it did deliver. but many i had a lot of issues with the characterization and overall conflict-plotline. :(

but man, the characters felt so, awkward? just too cringey for me, how emmy's internal monologue and thoughts with how she phrased things were too cringey and almost not real sounding? at least in my opinion. i also dislike how the tension between emmy and grayson from the start of the novel kinda just dissolved with no important plot involvement? like huh?? and even the reasoning as to why emmy hated grayson's guts was weak but chalked it up to young teen drama (and classic, to find out it was only one-sided. but that whole miscommunication wasn't even addressed between the two ugh)

also it did have the 3rd act conflict but it was set up so poorly and wish at least elements of it was more involved earlier in the story. and! not to mention! the resolution of that conflict felt like such a slap job and no communication other than the simple i'm sorry, i jumped to conclusions. a minor success was that they [non-gendered for nonspoilers] didn't forgive the other right away and start jumping each others bones, but don't worry that happened in the next chapter with not much else that happened :///

i figured after a couple chapters that it wasn't gonna be like an amazing romance novel but i was hoping for cheap fun thrills but barely even got that imo :// was gonna rate it a 3.5 stars or even 3.75 stars but now looking back at my time reading the book, it wasn't that much fun to warrant more partial stars so it got docked partial stars. sucks, really wanted to enjoy it with the whole premise.
", ,
37,only and forever,chloe liese,3.25,65.00%,368,"2,024",romance,contemporary,2024-05-16,2024-05-25,10.0,"i have a lot of mixed and bittersweet feelings

i think from the start, i felt so satisfied with ziggy's story, so to now get to the final book with viggo, a guy that just felt like too much (as a side character in the other books) i already had meh feelings about him. that coupled with the main themes/tropes of enemies to lovers (that didn't really feel like it imo), love-traumatized character, and forced roommates (though in other contexts fine with, but this combo just didn't do it for me). don't get me wrong, i think chloe liese's quality in storytelling didn't go down, just that the characters and plot points didn't vibe with me (not to mention the slow boredom? or break that i need from romance because the fuel of burning through romance books has fizzled out during the read of this book)

surprisingly i have issues with the bergman sibling to have less character dimension and growth during the book in previous series (from what i remember it's been awhile in terms of books so it's not fresh in my mind), and the so to have more character development since they're the *new* person in this world. but interestingly this was the case where i felt like tallulah was the more undeveloped compared to viggo. other than her personal internal trudge through love-trauma from her parents, the momentous things of her growth to becoming open to love again felt like they didn't happen in action, but rather more glossed over or told to us. and then bam moving fast and felt like maybe i was missing something? not too sure. 

also wished that the heavy topics that were talked about were better dealt with? i think they were okay in the book but wished it could've gone more into it than more brief stop on it before moving on quite quickly. i think that the relationship growth between tallulah and viggo did happen, but we as the readers felt like we were left out of chunks of it that would make it timeline wise, make more sense with the steady growth instead of more jumps between time jumps.

not much else to say, just that i lost interest in the book, and only finished just bc i like the burgman family </3 

but man romance book burnout(?) hit hard on top of the gripes i had with the book, making me lose reading momentum, thus influencing my end rating to be a lot lower than expected. ", ,
38,crying in h mart,michelle zauner,4.75,95.00%,239,"2,021",memoir,contemporary,2024-03-07,2024-05-28,83.0,"gah

honestly i would've read this book in a shorter time, but the couple month delay was not only due to my library copy expiring but also emotionally was rough as at the time, someone in my family had a medical scare and the thematic elements of michelle going through her mother's cancer felt all to real and too much at the time. but after the scare was indeed a scare, and i got another library ebook copy, i finally finished reading

i enjoyed this a lot. the emotional journey of not only growing up in the us with a korean identity but juggling assimilation with being ""more american."" personally am not mixed like michelle, but that conflict of balancing cultural acceptance from both sides, i do relate to and emphathize. the food mentioned, how certain mannerisms or phrases commonly used felt so relatable and comforting to find someone else having that similar korean-american experience. 

i also related a lot to michelle's experience with her mom being diagnosed and having cancer, leading to passing away. though i am grateful to have not experienced my parents passing, i've had close family members, even my maternal grandmother whom i was extremely close to growing up, pass to cancer and how that affects you both at the time but also much later. 

the topics/themes were delivered very well, and the pacing felt natural. each chapter felt almost like an essay, with a narrative story to exemplify that moment to be highlighted in michelle's life at the time. i laughed, i cried, i was happy, i was gut wrenched, all those emotions from witnessing such an emotional time period in the author's life. the beauty and devastation during all of it.

overall i really enjoyed it. and now i wanna go eat korean food... haha",,
39,"love you, mean it",jilly gagnon,3.75,75.00%,320,"2,024",romance,contemporary,2024-05-28,2024-05-30,3.0,"this was a very cute book. yes it was kinda basic but what can i say i'm a sucker for the fake dating trope. all cringey-ness related to it is waved off and ignored or tolerated lol

i don't think the plot line and character arcs were particularly groundbreaking or new, but it was fun and i enjoyed it. and not all books need to be as such. :)  but my goodness the levels of delusion and denial that this girl was in... can definitely see how that would be annoying for some people but was just amusing to read and see what wild mental goose chase ellie would go on, to the point of maybe going in over her head and ruining things that she was trying to do.. aha

one nitpick was that the pacing from the second half to the end felt very fast and rushed, like things were moving, and the 3rd act conflict and resolution happened in the last like three chapters and i always dislike that in books </3 also would've liked to see more family dynamics on ellie's side, even just more dinners or such, as it just felt like we were only convincing theo's side and for a character that has such strong ties and feelings about family, we didn't get much scenes of them in the book. (yes not to get into spoilers but there is a reason why ellie's side of the family didn't need to meet theo as much as his side but still would've liked it for more realism and just making sense and development :/ )

but overall i did enjoy reading it. yes it was maybe predictable and not the greatest but it was fun so idk :)", ,
40,iron flame,rebecca yarros,3.50,70.00%,640,"2,023",romance,fantasy,2024-05-31,2024-06-03,4.0,"i have/had a lot of thoughts but not all of them are coming to mind right now... erm

but much to say that things have not improved per say from the first book. doesn't mean that i won't be reading the next book (probably the series too tbh) but that it has its faults and there are definitely other high fantasy books that plot and character wise are stronger

that being said, i did enjoy (for the most part) reading this book. i love and always will love found family dynamics, and the relationships between violet, her squad, and others that we later get to know more was very fun and thrilling. the reason as to how i was able to plow through this book so quickly was because i needed to read more of the dynamics, how they would navigate through different struggles and conflicts, hell even if they survive (it is a 5 book series, i believe so surely there are players since the first book that would last and carry through to the end.. right? i say as past fantasy series that i've read don't have many people... survive... erm)

but now finishing the book and looking back, i think plot wise was more interesting? as the first book was more magic school initiation type beat while this leans into rebellion revolution war politics. though, would've liked to see more of that and felt almost like violet was left out of conversations or only hearing summaries or tidbits due to avoiding putting more intricacy or development on the political war front. just a thought. but i think the pacing was good, and for what was revealed and how, felt at the right tempo, and for the most part didn't drag too much or speed up either.

i do very much dislike how violet and xaden's relationship problems kept cropping up, and persistently not changing or improving, honestly for basically the whole book. it almost felt like it was detracting from the main story of the rebellion and the issue with the venin, constantly right before important moments just to try and address (and fail) their trust issues. having catriona was..   interesting for their relationship especially during a tumultuous time. i don't hate how that whole storyline was delivered, but again, going back to the same issues, that even the characters are aware of the constant back and forth, with no progress was frustrating?  and i just wanted to move on. like yes the new wyvern and venin was the big plot of this book but honestly these relationship issues seem to rival being the main conflict and plot device of the entire book ://

not to spoil what exactly happens at the end, but i kinda guessed in what direction it would lead (not to mention that i was getting impatient with the whole storyline with andarna and went to the fan wiki page to jump ahead and learn more lmao and in the process spoiled a detail that would be revealed at the end as a cliffhanger oops) very much reminiscent of other fantasy-esque books that i've read with how the plot seemed to be leading. also. whenever a book that has been only one pov since its start and suddenly changes pov's.... it gonna get.. insane. for the characters.. let's just say..

overall the book was fun, but it very much feels like those first books of fantasy books i grew up with with annoying details or plot issues that i don't care enough about to really savor a book... but i do tend to have a preference for middle of series books so hopefully i'll like the next one better (but it has to have more politics c'mon mann)", ,
41,better than the movies,lynn painter,4.25,85.00%,356,"2,021",romance,teen/ya,2024-06-04,2024-06-05,2.0,"i was apprehensive when i first started. as i've gotten older, books that take place in modern day high school inherently just feel cringey to me, on top of not wanting to relive high school again through the book aha. but was glad that though liz is a bit cringey, she's also cute and sentimental (maybe to a fault). 

the biggest part that was cringey or awkward to read was liz's infatuation with michael, or rather the idea of him. probably due to being tied with grief about her mom, as to why she clung to that idea and never really moved on or grew up from it. i sympathized with her and accepted this aspect of her personality because of that background detail

the whole plot of it taking so long for liz to realize what she thinks she has with michael vs what she has with wes was a journey but was fun (yet can be frustrating) to witness. but damn girl it took so long to get into her head and things to click into place. also this book does have miscommunication in the conflicts, but more so just the two characters not talking !! even though they should !! but they're silly high school teens that have bad communication skills xd

overall this book was very cute and fun and a fast read. the cringe was there but it's a level of cringe with reasoning as to why its cringe that made it tolerable/ignorable", ,
42,how to end a love story,yulin kuang,4.50,90.00%,384,"2,024",romance,fame/celebrity,2024-06-06,2024-06-10,5.0,"i started this book but then changed my mind and wanted to read fantasy so i started throne of glass, cut to a couple days ago, realizing that this ebook from the library is due very soon and i had only read a couple chapters before putting it down (not that it was bad just that i was at the time more interested in reading something else) but man, once i started, i was sucked in. i spent three nights in a row going to bed very very late and subsequently ruining my sleep schedule just because i was so sucked into reading this. 

first the premise. was very curious how it would play out and was not disappointed. the tension and almost enemies to lovers energy it had but having a more serious tragic circumstance that made them (more so helen than grant) feel so hostile to the other. 

i felt like the pacing was solid, maybe at certain points it felt a bit rushed and time was moving too fast where we would just get a simple summary of what happened in the time skip which i'm not always crazy about in books (not that i need to know everything that happens but i feel like at somewhat important or meaningful moments get cut for brevity). i liked that we got both pov's of helen and grant, but the split wasn't your traditional romance book of one chapter one pov next chapter other pov. it was very fluid and went back and forth. yes at first it was something to get used to but once i did i really enjoyed it. it was different and had that more cerebral stream of consciousness feeling to it with this style. learning about kuang's background as a screenwriter once i finished the book felt it made more sense with this choice.

i love love romance books that have roots in realism, addressing the emotional tenets of the characters since their relationship is the main plot point of the story. i feel the characterization was done well, how almost frustratingly both helen and grant were stubborn in their own ways not understanding or communicating during their issues and more specifically helen's hangups about not wanting anything love-related with grant (even though she ain't fooling anyone just silly to not realize and admit it). i felt the aspects of the asian american assimilation experience to be very relatable, the complex relationship one has with their parents, how the concept of love was a very tricky and unclear sentiment growing up and specifically in helen's case how that coupled with michelle's death created some heavy trauma and emotional complexities that only during the book she would start to tackle more. 

not to get into spoilers but i also enjoyed the ending, how things did not resolve perfectly and again had that realism of disagreements may not be resolved, especially whilst having a language/culture barrier making the circumstance all the more complicated. 

the level of spice/sex scenes in the book felt a little too much for my personal preference but i think that they all made sense and wasn't an excessive like hump fest that made no sense to the plot or character arcs, a thing that i often get annoyed by in other romance novels (ofc personal preference, like things to have meaning and contribute to the plot, rather than just to have them in a book)

overall i really enjoyed this one. how it touches on familial relationships, grief, but also growth during the process and not waiting to figure out your life once you're a ""perfect person"" with all one's baggage resolved ", ,
43,better than the prom,lynn painter,4.00,80.00%,30,"2,022",romance,teen/ya,2024-06-10,2024-06-10,1.0,they're so cute and glad to read wes' pov :) i've kinda decided not to read the second book no matter how the first two chapters i read in a teaser at the end of better than the movies bc wdymmm they break up in what feels like a marketing move just to write another book -_-, ,
44,throne of glass,sarah j. maas,4.00,80.00%,406,"2,012",fantasy,teen/ya,2024-06-06,2024-06-21,16.0,"did not realize till writing this review that it's been roughly 10 years since i read this book, crazy. despite the passage of time, along with the lengthy time it took just because i took a week or so break from reading, i still really enjoyed this book. yes, now after time i can see the cringeyness of certain lines the characters say, but the plot was good, the whole underdog (but not really) journey that celeana goes after coming from her prison, the salt mines, survival to another type of survival with the reward (with strings) of freedom. i always love a training arc in a character and maybe this was one of the early books that attributed my love for them.. hm. 

revisiting the book was nice, though because of time and me reading a lot of books since then, fading the memories of this book, most details were not new but more of a rediscovery? how all the pieces, hints, red herrings?, tease the plot in not only this book, but from what i remember of books 2-5 as well. 

overall very fun, some elements that does make it clear it is a ya fantasy novel but mostly not in a bad way. excited to continue my re-read of this series, as i have been trying to do since having more reading/story experience and reading them from an adult perspective. ", ,
45,not like other girls,meredith adamo,4.50,90.00%,448,"2,024",mystery,teen/ya,2024-06-23,2024-06-25,3.0,"i first came across this book on my goodreads feed, and requested the library ebook on a whim. i enjoyed it and loved it so much, the premise sucked me in, which reminded me how much i enjoy mystery stories and should read more of them. 

my brain is still reeling from the ending, how much the story unraveled and twisted that i was sucked in reading the last 1/3 of the book rushing to figure out what is happening. the pacing of the story was good, how things were revealed, the red herrings or even the mc just misunderstanding certain details leading us down a rabbit hole, i felt all was delivered well. no parts of the story felt dragged or filler, maybe at the end it would seem fast? but given the nature of the mystery being solved, the speed added to the rushed nature the characters felt as they were trying to figure out why maddie went missing.

the characters.. man let's just say that everyone sucks and move on haha 
but actually, the more we found out about maddie, jo, and the others, the more messed up they were, how the privileged yet very broken family lives. also just being dumb stupid naïve kids. and the human nature of being so selfish and the desperation to the point of becoming morally grey, how some characters saw their relationships for more than what they are, whether it be romanticized or transactional view of it. a very realistic understanding of high school drama, as the author addressed topics and themes beyond the typical soapy teen drama, and having these aspects not just to have them to make it a teen drama mystery but to have meaning and the characters experiences be cathartic. (if this at all makes any coherent sense aha)

i also appreciated the aspect of delving more into jo and the life leading up until maddie went missing. how in trying to figure out the reason maddie needed her help right before she went missing, jo was confronted to look at her past actions and experiences, how those affected her to the point of not even realizing the effects until years later. i felt so angry for jo about the revenge porn, but also sad how she kept justifying in her mind that all those actions done against her was her fault, her mistake for doing a, b, c, or not saying x, y, z. (EVEN THOUGH IT WASN'T !!) the delivery of these heavy topics felt it was done right, going through how girls feel and the steps of grief through those traumatic experiences. how much women yearn for friendship and love that we don't receive and how much the world screws us over. (i'm not sure where i'm going with this) but i appreciate that we not only got to see jo through the realization but also the recovery and growth from it, how she started to develop female friendships again, talking through those traumatic experiences to others. 

my brain fully hasn't processed this book to write more about it but nonetheless i really enjoyed this. i always love a mystery and trying to solve it and i should intentionally read more in the genre....", ,
46,crown of midnight,sarah j. maas,4.50,90.00%,420,"2,013",fantasy,teen/ya,2024-06-26,2024-06-28,3.0,"it's been so many books and a significant amount of time since i've read this book that i forgot most of the plot. the only part i remembered was the big twist and the events leading up to it, which when i got to the part knew instantly yet still crushed me like the first time. the bigger twist towards the end that enhances the twist i did forget though, and maybe because i was drawn into the book taking away my attention, i did not pick up on the clues like i did for how the antagonist was brought up in the first book.

this book felt like such an upgrade from the first, other than the love triangle that goes on, not much did feel like a ya novel. yes the characters are in that age range 18-20's, but because of the whole issue of solving the puzzle(s) with the king and the darkness lurking in the castle, maybe distracted me? or made the plot more interesting that my brain didn't register the love triangle elements too much. 

speaking of the love triangle, classic 2010's ya novel trope. it's not the worst depiction but also not the best, just alright and decently in there and it makes sense (sorta). i do like that we eventually step away from the love triangle and a decision (not to be specified to avoid spoilers aha) is made (sort of). i really enjoyed the relationship development with celeana and ""the others"" (chaol, dorian, nehemia) that they all get to know each other and find out more things even to their dismay. but also the lies and hidden truths that celeana goes about telling as she tries to manuver around being the newly appointed king's champion but also solving elena's riddle? hint about darkness in the castle.

overall very fun intense book. heartbreak only makes you stronger, right? celeana? oof. aha. excited to continue rereading the series, to get into more politics as this book only starts to get into it. though unfortunately i cannot access my irl copies of the rest of the series so will have to take a break until i do </3 unless my library ebooks come through lol", ,
